tree_index,train_time
1,0.938464879989624
2,0.8131012916564941
3,0.7824537754058838
4,0.796043872833252
5,0.7915999889373779
6,0.7979991436004639
7,0.7980008125305176
8,0.7890067100524902
9,0.7704718112945557
10,0.8378567695617676
11,0.7851290702819824
12,0.7760822772979736
13,0.7800648212432861
14,0.7719390392303467
15,0.79644775390625
16,0.7722501754760742
17,0.7815299034118652
18,0.8125066757202148
19,0.7856619358062744
20,0.7820417881011963
21,0.7750658988952637
22,0.8007819652557373
23,0.7935223579406738
24,0.7876176834106445
25,0.7870128154754639
26,0.793997049331665
27,0.778005838394165
28,0.7739310264587402
29,0.7703526020050049
30,0.8137660026550293
31,0.799931526184082
32,0.7804551124572754
33,0.776740550994873
34,0.85019850730896
35,0.8007040023803711
36,0.762129545211792
37,0.8190450668334961
38,0.7616331577301025
39,0.799536943435669
40,0.785003662109375
41,0.7843317985534668
42,0.7943918704986572
43,0.8188822269439697
44,0.7980403900146484
45,0.7960970401763916
46,0.7997105121612549
47,0.862055778503418
48,0.7971043586730957
49,0.7879965305328369
50,0.7998900413513184
51,0.7811470031738281
52,0.8580076694488525
53,0.7896683216094971
54,0.8089990615844727
55,0.7750198841094971
56,0.7949995994567871
57,0.7880532741546631
58,0.8328530788421631
59,0.7810053825378418
60,0.7849948406219482
61,0.7969367504119873
62,0.7649579048156738
63,0.7869372367858887
64,0.7725753784179688
65,0.8037772178649902
66,0.8064429759979248
67,0.7722270488739014
68,0.8480014801025391
69,0.8129947185516357
70,0.7849993705749512
71,0.7638528347015381
72,0.8189704418182373
73,0.779428243637085
74,0.7980782985687256
75,0.802060604095459
76,0.8040001392364502
77,0.763176441192627
78,0.7940948009490967
79,0.8221175670623779
80,0.7839980125427246
81,0.8295743465423584
82,0.8115990161895752
83,0.8980636596679688
84,0.8473658561706543
85,0.8601171970367432
86,0.8365614414215088
87,0.837285041809082
88,0.8227510452270508
89,0.7896935939788818
90,0.8124380111694336
91,0.7922773361206055
92,0.8232903480529785
93,0.7844617366790771
94,0.8213422298431396
95,0.853503942489624
96,0.8798158168792725
97,0.8031270503997803
98,0.7859969139099121
99,0.7809715270996094
100,0.7622339725494385
