tree_index,train_time
1,0.9463400840759277
2,0.9225080013275146
3,0.9147181510925293
4,0.9101378917694092
5,0.9465923309326172
6,0.9037501811981201
7,0.9149947166442871
8,0.92291259765625
9,1.009232521057129
10,1.0411694049835205
11,0.9643614292144775
12,0.9139347076416016
13,0.9026679992675781
14,0.9097576141357422
15,0.8907325267791748
16,0.8875219821929932
17,0.9278326034545898
18,0.9257924556732178
19,0.9104187488555908
20,0.9043958187103271
21,0.9119431972503662
22,0.8911364078521729
23,0.9046704769134521
24,0.9323606491088867
25,0.9440140724182129
26,0.9385888576507568
27,0.9315266609191895
28,0.9312913417816162
29,0.9389276504516602
30,0.9472286701202393
31,0.9257147312164307
32,0.9182674884796143
33,0.9495189189910889
34,0.9645242691040039
35,0.9629838466644287
36,0.912818431854248
37,1.0035440921783447
38,1.0392341613769531
39,1.0112154483795166
40,0.9711108207702637
41,0.9771468639373779
42,0.9215888977050781
43,0.9549431800842285
44,0.962576150894165
45,1.0190050601959229
46,0.962836742401123
47,0.9176623821258545
48,0.914057731628418
49,0.9106464385986328
50,0.9113831520080566
51,0.8985691070556641
52,0.9196186065673828
53,0.9206249713897705
54,0.921109676361084
55,0.9006192684173584
56,0.9098238945007324
57,0.8937571048736572
58,0.8946361541748047
59,0.9458398818969727
60,0.9429655075073242
61,0.9638776779174805
62,0.946864128112793
63,0.9240381717681885
64,0.9424200057983398
65,0.9161226749420166
66,0.9475688934326172
67,0.9211854934692383
68,0.9119389057159424
69,0.9262359142303467
70,0.9264504909515381
71,0.9194800853729248
72,0.9523568153381348
73,0.9141082763671875
74,0.9080221652984619
75,0.922476053237915
76,0.8873200416564941
77,0.9475128650665283
78,0.9467794895172119
79,0.9274580478668213
80,0.9178380966186523
81,0.9071943759918213
82,0.9483649730682373
83,0.903578519821167
84,0.8867337703704834
85,0.9227275848388672
86,0.9360301494598389
87,0.8902859687805176
88,0.9125292301177979
89,0.9027063846588135
90,0.8973817825317383
91,0.9182932376861572
92,0.9384114742279053
93,0.9651753902435303
94,0.9500038623809814
95,0.972527265548706
96,0.945502758026123
97,0.9282400608062744
98,0.9834847450256348
99,0.9858744144439697
100,0.9922022819519043
